address,town_name,province_name,source_id,type_of_water_source,results
"19 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06708224,shared_tap,NULL
"17 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06709224,well,Clean
"20 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06710224,tap_in_home,NULL
"51 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06711224,shared_tap,NULL
"51 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06711224,shared_tap,NULL
"51 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06711224,shared_tap,NULL
"51 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06711224,shared_tap,NULL
"51 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06711224,shared_tap,NULL
"51 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06711224,shared_tap,NULL
"51 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06711224,shared_tap,NULL
"51 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06711224,shared_tap,NULL
"69 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06712224,well,"Contaminated: Chemical"
"66 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06713224,well,Clean
"35 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06714224,well,"Contaminated: Chemical"
"6 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06715224,river,NULL
"34 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06716224,well,"Contaminated: Chemical"
"26 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06717224,well,Clean
"28 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06718224,well,Clean
"38 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06719224,shared_tap,NULL
"38 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06719224,shared_tap,NULL
"38 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06719224,shared_tap,NULL
"38 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06719224,shared_tap,NULL
"38 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06719224,shared_tap,NULL
"38 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06719224,shared_tap,NULL
"38 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06719224,shared_tap,NULL
"38 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06719224,shared_tap,NULL
"30 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06720224,shared_tap,NULL
"30 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06720224,shared_tap,NULL
"30 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06720224,shared_tap,NULL
"30 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06720224,shared_tap,NULL
"30 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06720224,shared_tap,NULL
"30 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06720224,shared_tap,NULL
"30 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06720224,shared_tap,NULL
"30 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06720224,shared_tap,NULL
"56 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06721224,tap_in_home_broken,NULL
"46 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06722224,well,Clean
"25 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06723224,well,"Contaminated: Biological"
"59 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06724224,well,Clean
"23 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06725224,well,"Contaminated: Chemical"
"14 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06726224,river,NULL
"11 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06727224,well,Clean
"62 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06728224,well,"Contaminated: Chemical"
"10 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06729224,well,Clean
"32 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06730224,well,Clean
"64 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06731224,well,Clean
"7 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06732224,tap_in_home_broken,NULL
"39 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06733224,tap_in_home,NULL
"68 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06734224,well,"Contaminated: Chemical"
"43 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06735224,shared_tap,NULL
"45 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06736224,tap_in_home,NULL
"12 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06737224,shared_tap,NULL
"60 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06738224,shared_tap,NULL
"3 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06739224,well,Clean
"52 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06740224,tap_in_home,NULL
"37 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06741224,well,Clean
"8 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06742224,shared_tap,NULL
"8 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06742224,shared_tap,NULL
"8 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06742224,shared_tap,NULL
"8 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06742224,shared_tap,NULL
"8 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06742224,shared_tap,NULL
"8 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06742224,shared_tap,NULL
"8 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06742224,shared_tap,NULL
"8 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06742224,shared_tap,NULL
"65 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06743224,shared_tap,NULL
"65 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06743224,shared_tap,NULL
"65 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06743224,shared_tap,NULL
"65 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06743224,shared_tap,NULL
"65 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06743224,shared_tap,NULL
"65 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06743224,shared_tap,NULL
"65 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06743224,shared_tap,NULL
"65 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06743224,shared_tap,NULL
"1 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06744224,well,"Contaminated: Chemical"
"24 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06745224,well,"Contaminated: Chemical"
"57 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06746224,well,Clean
"33 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06747224,well,"Contaminated: Chemical"
"50 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06748224,well,Clean
"61 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06749224,shared_tap,NULL
"61 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06749224,shared_tap,NULL
"61 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06749224,shared_tap,NULL
"61 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06749224,shared_tap,NULL
"61 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06749224,shared_tap,NULL
"61 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06749224,shared_tap,NULL
"61 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06749224,shared_tap,NULL
"61 Mbuni Nyerere Avenue",Rural,Akatsi,AkRu06749224,shared_tap,NULL
"16 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06750224,shared_tap,NULL
"16 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06750224,shared_tap,NULL
"16 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06750224,shared_tap,NULL
"16 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06750224,shared_tap,NULL
"16 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06750224,shared_tap,NULL
"16 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06750224,shared_tap,NULL
"16 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06750224,shared_tap,NULL
"16 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06750224,shared_tap,NULL
"9 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06751224,well,"Contaminated: Chemical"
"17 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06752224,well,"Contaminated: Chemical"
"26 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06753224,tap_in_home,NULL
"5 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06754224,well,"Contaminated: Chemical"
"24 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06755224,well,"Contaminated: Biological"
"49 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06756224,well,Clean
"46 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06757224,shared_tap,NULL
"46 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06757224,shared_tap,NULL
"46 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06757224,shared_tap,NULL
"46 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06757224,shared_tap,NULL
"46 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06757224,shared_tap,NULL
"46 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06757224,shared_tap,NULL
"46 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06757224,shared_tap,NULL
"46 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06757224,shared_tap,NULL
"35 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06758224,tap_in_home_broken,NULL
"27 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06759224,well,Clean
"38 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06760224,well,Clean
"1 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06761224,shared_tap,NULL
"1 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06761224,shared_tap,NULL
"1 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06761224,shared_tap,NULL
"1 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06761224,shared_tap,NULL
"1 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06761224,shared_tap,NULL
"1 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06761224,shared_tap,NULL
"1 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06761224,shared_tap,NULL
"1 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06761224,shared_tap,NULL
"2 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06762224,well,Clean
"45 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06763224,well,Clean
"39 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06764224,well,"Contaminated: Chemical"
"21 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06765224,shared_tap,NULL
"6 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06766224,well,"Contaminated: Chemical"
"18 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06767224,shared_tap,NULL
"18 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06767224,shared_tap,NULL
"18 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06767224,shared_tap,NULL
"18 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06767224,shared_tap,NULL
"18 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06767224,shared_tap,NULL
"18 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06767224,shared_tap,NULL
"18 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06767224,shared_tap,NULL
"18 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06767224,shared_tap,NULL
"23 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06768224,well,"Contaminated: Chemical"
"43 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06769224,well,"Contaminated: Chemical"
"8 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06770224,well,"Contaminated: Chemical"
"37 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06771224,well,Clean
"40 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06772224,shared_tap,NULL
"41 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06773224,tap_in_home,NULL
"33 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06774224,well,"Contaminated: Chemical"
"34 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06775224,well,"Contaminated: Chemical"
"44 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06776224,well,"Contaminated: Chemical"
"48 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06777224,well,"Contaminated: Chemical"
"42 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06778224,shared_tap,NULL
"11 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06779224,tap_in_home,NULL
"7 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06780224,tap_in_home_broken,NULL
"14 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06781224,well,Clean
"15 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06782224,river,NULL
"50 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06783224,tap_in_home,NULL
"30 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06784224,shared_tap,NULL
"10 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06785224,river,NULL
"29 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06786224,shared_tap,NULL
"20 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06787224,well,Clean
"19 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06788224,well,Clean
"28 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06789224,well,"Contaminated: Chemical"
"25 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06790224,well,"Contaminated: Chemical"
"13 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06791224,well,"Contaminated: Chemical"
"36 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06792224,tap_in_home,NULL
"12 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06793224,well,Clean
"4 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06794224,well,"Contaminated: Chemical"
"22 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06795224,well,Clean
"32 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06796224,well,"Contaminated: Chemical"
"3 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06797224,well,Clean
"47 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06798224,shared_tap,NULL
"31 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06799224,shared_tap,NULL
"31 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06799224,shared_tap,NULL
"31 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06799224,shared_tap,NULL
"31 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06799224,shared_tap,NULL
"31 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06799224,shared_tap,NULL
"31 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06799224,shared_tap,NULL
"31 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06799224,shared_tap,NULL
"31 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06799224,shared_tap,NULL
"100 Fisi Nkrumah Street",Rural,Akatsi,AkRu06800224,well,"Contaminated: Biological"
"79 Fisi Nkrumah Street",Rural,Akatsi,AkRu06801224,well,Clean
"152 Fisi Nkrumah Street",Rural,Akatsi,AkRu06802224,river,NULL
"155 Fisi Nkrumah Street",Rural,Akatsi,AkRu06803224,tap_in_home,NULL
"167 Fisi Nkrumah Street",Rural,Akatsi,AkRu06804224,tap_in_home,NULL
"124 Fisi Nkrumah Street",Rural,Akatsi,AkRu06805224,shared_tap,NULL
"91 Fisi Nkrumah Street",Rural,Akatsi,AkRu06806224,tap_in_home,NULL
"153 Fisi Nkrumah Street",Rural,Akatsi,AkRu06807224,shared_tap,NULL
"67 Fisi Nkrumah Street",Rural,Akatsi,AkRu06808224,well,"Contaminated: Biological"
"179 Fisi Nkrumah Street",Rural,Akatsi,AkRu06809224,well,Clean
"182 Fisi Nkrumah Street",Rural,Akatsi,AkRu06810224,river,NULL
"190 Fisi Nkrumah Street",Rural,Akatsi,AkRu06811224,shared_tap,NULL
"127 Fisi Nkrumah Street",Rural,Akatsi,AkRu06812224,well,Clean
"86 Fisi Nkrumah Street",Rural,Akatsi,AkRu06813224,shared_tap,NULL
"142 Fisi Nkrumah Street",Rural,Akatsi,AkRu06814224,well,"Contaminated: Chemical"
"171 Fisi Nkrumah Street",Rural,Akatsi,AkRu06815224,shared_tap,NULL
"65 Fisi Nkrumah Street",Rural,Akatsi,AkRu06816224,well,"Contaminated: Chemical"
"64 Fisi Nkrumah Street",Rural,Akatsi,AkRu06817224,shared_tap,NULL
"64 Fisi Nkrumah Street",Rural,Akatsi,AkRu06817224,shared_tap,NULL
"64 Fisi Nkrumah Street",Rural,Akatsi,AkRu06817224,shared_tap,NULL
"64 Fisi Nkrumah Street",Rural,Akatsi,AkRu06817224,shared_tap,NULL
"64 Fisi Nkrumah Street",Rural,Akatsi,AkRu06817224,shared_tap,NULL
"64 Fisi Nkrumah Street",Rural,Akatsi,AkRu06817224,shared_tap,NULL
"64 Fisi Nkrumah Street",Rural,Akatsi,AkRu06817224,shared_tap,NULL
"64 Fisi Nkrumah Street",Rural,Akatsi,AkRu06817224,shared_tap,NULL
"18 Fisi Nkrumah Street",Rural,Akatsi,AkRu06818224,well,"Contaminated: Chemical"
"66 Fisi Nkrumah Street",Rural,Akatsi,AkRu06819224,well,"Contaminated: Chemical"
"44 Fisi Nkrumah Street",Rural,Akatsi,AkRu06820224,well,"Contaminated: Biological"
"98 Fisi Nkrumah Street",Rural,Akatsi,AkRu06821224,tap_in_home,NULL
"87 Fisi Nkrumah Street",Rural,Akatsi,AkRu06822224,shared_tap,NULL
"87 Fisi Nkrumah Street",Rural,Akatsi,AkRu06822224,shared_tap,NULL
"87 Fisi Nkrumah Street",Rural,Akatsi,AkRu06822224,shared_tap,NULL
"87 Fisi Nkrumah Street",Rural,Akatsi,AkRu06822224,shared_tap,NULL
"87 Fisi Nkrumah Street",Rural,Akatsi,AkRu06822224,shared_tap,NULL
"87 Fisi Nkrumah Street",Rural,Akatsi,AkRu06822224,shared_tap,NULL
"87 Fisi Nkrumah Street",Rural,Akatsi,AkRu06822224,shared_tap,NULL
"87 Fisi Nkrumah Street",Rural,Akatsi,AkRu06822224,shared_tap,NULL
"108 Fisi Nkrumah Street",Rural,Akatsi,AkRu06823224,shared_tap,NULL
"71 Fisi Nkrumah Street",Rural,Akatsi,AkRu06824224,well,Clean
"166 Fisi Nkrumah Street",Rural,Akatsi,AkRu06825224,well,"Contaminated: Chemical"
"128 Fisi Nkrumah Street",Rural,Akatsi,AkRu06826224,shared_tap,NULL
"128 Fisi Nkrumah Street",Rural,Akatsi,AkRu06826224,shared_tap,NULL
"128 Fisi Nkrumah Street",Rural,Akatsi,AkRu06826224,shared_tap,NULL
"128 Fisi Nkrumah Street",Rural,Akatsi,AkRu06826224,shared_tap,NULL
"128 Fisi Nkrumah Street",Rural,Akatsi,AkRu06826224,shared_tap,NULL
"128 Fisi Nkrumah Street",Rural,Akatsi,AkRu06826224,shared_tap,NULL
"128 Fisi Nkrumah Street",Rural,Akatsi,AkRu06826224,shared_tap,NULL
"128 Fisi Nkrumah Street",Rural,Akatsi,AkRu06826224,shared_tap,NULL
"37 Fisi Nkrumah Street",Rural,Akatsi,AkRu06827224,well,Clean
"22 Fisi Nkrumah Street",Rural,Akatsi,AkRu06828224,tap_in_home_broken,NULL
"164 Fisi Nkrumah Street",Rural,Akatsi,AkRu06829224,shared_tap,NULL
"164 Fisi Nkrumah Street",Rural,Akatsi,AkRu06829224,shared_tap,NULL
"164 Fisi Nkrumah Street",Rural,Akatsi,AkRu06829224,shared_tap,NULL
"164 Fisi Nkrumah Street",Rural,Akatsi,AkRu06829224,shared_tap,NULL
"164 Fisi Nkrumah Street",Rural,Akatsi,AkRu06829224,shared_tap,NULL
"164 Fisi Nkrumah Street",Rural,Akatsi,AkRu06829224,shared_tap,NULL
"164 Fisi Nkrumah Street",Rural,Akatsi,AkRu06829224,shared_tap,NULL
"164 Fisi Nkrumah Street",Rural,Akatsi,AkRu06829224,shared_tap,NULL
"168 Fisi Nkrumah Street",Rural,Akatsi,AkRu06830224,tap_in_home,NULL
"46 Fisi Nkrumah Street",Rural,Akatsi,AkRu06831224,well,Clean
"84 Fisi Nkrumah Street",Rural,Akatsi,AkRu06832224,well,Clean
"25 Fisi Nkrumah Street",Rural,Akatsi,AkRu06833224,shared_tap,NULL
"23 Fisi Nkrumah Street",Rural,Akatsi,AkRu06834224,well,"Contaminated: Biological"
"20 Fisi Nkrumah Street",Rural,Akatsi,AkRu06835224,shared_tap,NULL
"15 Fisi Nkrumah Street",Rural,Akatsi,AkRu06836224,well,"Contaminated: Biological"
"51 Fisi Nkrumah Street",Rural,Akatsi,AkRu06837224,well,Clean
"113 Fisi Nkrumah Street",Rural,Akatsi,AkRu06838224,well,Clean
"146 Fisi Nkrumah Street",Rural,Akatsi,AkRu06839224,well,"Contaminated: Chemical"
"112 Fisi Nkrumah Street",Rural,Akatsi,AkRu06840224,river,NULL
"125 Fisi Nkrumah Street",Rural,Akatsi,AkRu06841224,river,NULL
"96 Fisi Nkrumah Street",Rural,Akatsi,AkRu06842224,shared_tap,NULL
"96 Fisi Nkrumah Street",Rural,Akatsi,AkRu06842224,shared_tap,NULL
"96 Fisi Nkrumah Street",Rural,Akatsi,AkRu06842224,shared_tap,NULL
"96 Fisi Nkrumah Street",Rural,Akatsi,AkRu06842224,shared_tap,NULL
"96 Fisi Nkrumah Street",Rural,Akatsi,AkRu06842224,shared_tap,NULL
"96 Fisi Nkrumah Street",Rural,Akatsi,AkRu06842224,shared_tap,NULL
"96 Fisi Nkrumah Street",Rural,Akatsi,AkRu06842224,shared_tap,NULL
"96 Fisi Nkrumah Street",Rural,Akatsi,AkRu06842224,shared_tap,NULL
"192 Fisi Nkrumah Street",Rural,Akatsi,AkRu06843224,shared_tap,NULL
"192 Fisi Nkrumah Street",Rural,Akatsi,AkRu06843224,shared_tap,NULL
"192 Fisi Nkrumah Street",Rural,Akatsi,AkRu06843224,shared_tap,NULL
"192 Fisi Nkrumah Street",Rural,Akatsi,AkRu06843224,shared_tap,NULL
"192 Fisi Nkrumah Street",Rural,Akatsi,AkRu06843224,shared_tap,NULL
"192 Fisi Nkrumah Street",Rural,Akatsi,AkRu06843224,shared_tap,NULL
"192 Fisi Nkrumah Street",Rural,Akatsi,AkRu06843224,shared_tap,NULL
"192 Fisi Nkrumah Street",Rural,Akatsi,AkRu06843224,shared_tap,NULL
"50 Fisi Nkrumah Street",Rural,Akatsi,AkRu06844224,well,"Contaminated: Chemical"
"185 Fisi Nkrumah Street",Rural,Akatsi,AkRu06845224,shared_tap,NULL
"185 Fisi Nkrumah Street",Rural,Akatsi,AkRu06845224,shared_tap,NULL
"185 Fisi Nkrumah Street",Rural,Akatsi,AkRu06845224,shared_tap,NULL
"185 Fisi Nkrumah Street",Rural,Akatsi,AkRu06845224,shared_tap,NULL
"185 Fisi Nkrumah Street",Rural,Akatsi,AkRu06845224,shared_tap,NULL
"185 Fisi Nkrumah Street",Rural,Akatsi,AkRu06845224,shared_tap,NULL
"185 Fisi Nkrumah Street",Rural,Akatsi,AkRu06845224,shared_tap,NULL
"185 Fisi Nkrumah Street",Rural,Akatsi,AkRu06845224,shared_tap,NULL
"101 Fisi Nkrumah Street",Rural,Akatsi,AkRu06846224,well,"Contaminated: Chemical"
"195 Fisi Nkrumah Street",Rural,Akatsi,AkRu06847224,well,"Contaminated: Chemical"
"45 Fisi Nkrumah Street",Rural,Akatsi,AkRu06848224,well,"Contaminated: Chemical"
"1 Fisi Nkrumah Street",Rural,Akatsi,AkRu06849224,well,"Contaminated: Chemical"
"131 Fisi Nkrumah Street",Rural,Akatsi,AkRu06850224,well,Clean
"114 Fisi Nkrumah Street",Rural,Akatsi,AkRu06851224,shared_tap,NULL
"114 Fisi Nkrumah Street",Rural,Akatsi,AkRu06851224,shared_tap,NULL
"114 Fisi Nkrumah Street",Rural,Akatsi,AkRu06851224,shared_tap,NULL
"114 Fisi Nkrumah Street",Rural,Akatsi,AkRu06851224,shared_tap,NULL
"114 Fisi Nkrumah Street",Rural,Akatsi,AkRu06851224,shared_tap,NULL
"114 Fisi Nkrumah Street",Rural,Akatsi,AkRu06851224,shared_tap,NULL
"114 Fisi Nkrumah Street",Rural,Akatsi,AkRu06851224,shared_tap,NULL
"114 Fisi Nkrumah Street",Rural,Akatsi,AkRu06851224,shared_tap,NULL
"49 Fisi Nkrumah Street",Rural,Akatsi,AkRu06852224,shared_tap,NULL
"3 Fisi Nkrumah Street",Rural,Akatsi,AkRu06853224,well,"Contaminated: Chemical"
"160 Fisi Nkrumah Street",Rural,Akatsi,AkRu06854224,well,"Contaminated: Biological"
"123 Fisi Nkrumah Street",Rural,Akatsi,AkRu06855224,shared_tap,NULL
"123 Fisi Nkrumah Street",Rural,Akatsi,AkRu06855224,shared_tap,NULL
"123 Fisi Nkrumah Street",Rural,Akatsi,AkRu06855224,shared_tap,NULL
"123 Fisi Nkrumah Street",Rural,Akatsi,AkRu06855224,shared_tap,NULL
"123 Fisi Nkrumah Street",Rural,Akatsi,AkRu06855224,shared_tap,NULL
"123 Fisi Nkrumah Street",Rural,Akatsi,AkRu06855224,shared_tap,NULL
"123 Fisi Nkrumah Street",Rural,Akatsi,AkRu06855224,shared_tap,NULL
"123 Fisi Nkrumah Street",Rural,Akatsi,AkRu06855224,shared_tap,NULL
"122 Fisi Nkrumah Street",Rural,Akatsi,AkRu06856224,shared_tap,NULL
"16 Fisi Nkrumah Street",Rural,Akatsi,AkRu06857224,tap_in_home_broken,NULL
"53 Fisi Nkrumah Street",Rural,Akatsi,AkRu06858224,tap_in_home,NULL
"83 Fisi Nkrumah Street",Rural,Akatsi,AkRu06859224,well,"Contaminated: Chemical"
"173 Fisi Nkrumah Street",Rural,Akatsi,AkRu06860224,tap_in_home,NULL
"4 Fisi Nkrumah Street",Rural,Akatsi,AkRu06861224,well,"Contaminated: Chemical"
"26 Fisi Nkrumah Street",Rural,Akatsi,AkRu06862224,shared_tap,NULL
"26 Fisi Nkrumah Street",Rural,Akatsi,AkRu06862224,shared_tap,NULL
"26 Fisi Nkrumah Street",Rural,Akatsi,AkRu06862224,shared_tap,NULL
"26 Fisi Nkrumah Street",Rural,Akatsi,AkRu06862224,shared_tap,NULL
"26 Fisi Nkrumah Street",Rural,Akatsi,AkRu06862224,shared_tap,NULL
"26 Fisi Nkrumah Street",Rural,Akatsi,AkRu06862224,shared_tap,NULL
"26 Fisi Nkrumah Street",Rural,Akatsi,AkRu06862224,shared_tap,NULL
"26 Fisi Nkrumah Street",Rural,Akatsi,AkRu06862224,shared_tap,NULL
"148 Fisi Nkrumah Street",Rural,Akatsi,AkRu06863224,well,Clean
"56 Fisi Nkrumah Street",Rural,Akatsi,AkRu06864224,shared_tap,NULL
"56 Fisi Nkrumah Street",Rural,Akatsi,AkRu06864224,shared_tap,NULL
"56 Fisi Nkrumah Street",Rural,Akatsi,AkRu06864224,shared_tap,NULL
"56 Fisi Nkrumah Street",Rural,Akatsi,AkRu06864224,shared_tap,NULL
