type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
shared_tap,Pwani,Amanzi,Urban,2720,29,NULL
well,Harare,Akatsi,Urban,306,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,288,0,"Contaminated: Chemical"
shared_tap,Lusaka,Akatsi,Urban,2178,26,NULL
shared_tap,Harare,Kilimani,Urban,1086,101,NULL
tap_in_home,Kofi,Sokoto,Urban,794,0,NULL
well,Rural,Sokoto,Rural,160,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,328,0,Clean
tap_in_home_broken,Rural,Kilimani,Rural,804,0,NULL
well,Amara,Kilimani,Urban,358,0,Clean
well,Rural,Sokoto,Rural,226,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,208,0,"Contaminated: Chemical"
river,Majengo,Sokoto,Urban,612,29,NULL
well,Rural,Hawassa,Rural,164,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,270,0,Clean
well,Rural,Akatsi,Rural,306,0,"Contaminated: Chemical"
tap_in_home,Asmara,Amanzi,Urban,768,0,NULL
well,Rural,Amanzi,Rural,214,0,"Contaminated: Chemical"
well,Mrembo,Kilimani,Urban,342,0,"Contaminated: Biological"
well,Amara,Kilimani,Urban,354,0,"Contaminated: Biological"
tap_in_home,Bahari,Sokoto,Urban,622,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,498,0,NULL
well,Kintampo,Akatsi,Urban,382,0,Clean
well,Rural,Sokoto,Rural,308,0,"Contaminated: Biological"
shared_tap,Zuri,Kilimani,Urban,3214,240,NULL
river,Rural,Hawassa,Rural,848,26,NULL
tap_in_home,Rural,Akatsi,Rural,534,0,NULL
well,Yaounde,Hawassa,Urban,210,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,274,0,Clean
well,Dahabu,Amanzi,Urban,164,0,Clean
well,Rural,Akatsi,Rural,324,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,294,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,198,0,Clean
well,Majengo,Sokoto,Urban,392,0,Clean
tap_in_home,Majengo,Sokoto,Urban,398,0,NULL
well,Rural,Amanzi,Rural,390,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,166,0,Clean
shared_tap,Rural,Hawassa,Rural,2930,30,NULL
well,Rural,Hawassa,Rural,326,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,280,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,252,0,"Contaminated: Chemical"
river,Rural,Sokoto,Rural,678,7,NULL
well,Rural,Sokoto,Rural,292,0,"Contaminated: Chemical"
river,Marang,Sokoto,Urban,404,26,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,974,0,NULL
well,Rural,Hawassa,Rural,362,0,"Contaminated: Biological"
tap_in_home,Rural,Amanzi,Rural,652,0,NULL
well,Rural,Kilimani,Rural,332,0,"Contaminated: Chemical"
well,Rural,Amanzi,Rural,354,0,"Contaminated: Chemical"
well,Kintampo,Akatsi,Urban,306,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,650,0,NULL
shared_tap,Rural,Hawassa,Rural,3016,30,NULL
well,Rural,Akatsi,Rural,184,0,"Contaminated: Chemical"
well,Asmara,Amanzi,Urban,282,0,Clean
shared_tap,Rural,Kilimani,Rural,332,16,NULL
well,Harare,Kilimani,Urban,278,0,Clean
well,Harare,Kilimani,Urban,170,0,"Contaminated: Chemical"
tap_in_home_broken,Bello,Amanzi,Urban,852,0,NULL
well,Majengo,Sokoto,Urban,214,0,Clean
tap_in_home,Rural,Amanzi,Rural,902,0,NULL
tap_in_home,Mrembo,Kilimani,Urban,432,0,NULL
well,Ilanga,Sokoto,Urban,324,0,"Contaminated: Biological"
tap_in_home_broken,Yaounde,Hawassa,Urban,918,0,NULL
well,Rural,Hawassa,Rural,260,0,"Contaminated: Biological"
tap_in_home,Mrembo,Kilimani,Urban,558,0,NULL
well,Marang,Sokoto,Urban,230,0,Clean
tap_in_home,Pwani,Amanzi,Urban,474,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,836,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,328,0,NULL
well,Ilanga,Sokoto,Urban,286,0,Clean
river,Rural,Sokoto,Rural,846,17,NULL
well,Majengo,Sokoto,Urban,240,0,"Contaminated: Biological"
well,Harare,Kilimani,Urban,228,0,Clean
tap_in_home,Dahabu,Amanzi,Urban,496,0,NULL
well,Rural,Akatsi,Rural,282,0,Clean
tap_in_home_broken,Rural,Kilimani,Rural,768,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,914,0,NULL
well,Rural,Akatsi,Rural,338,0,Clean
well,Harare,Kilimani,Urban,346,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,292,0,"Contaminated: Biological"
tap_in_home,Kintampo,Akatsi,Urban,492,0,NULL
well,Rural,Amanzi,Rural,358,0,"Contaminated: Chemical"
well,Kintampo,Akatsi,Urban,192,0,Clean
shared_tap,Rural,Akatsi,Rural,3226,30,NULL
well,Zanzibar,Hawassa,Urban,354,0,"Contaminated: Chemical"
well,Kintampo,Akatsi,Urban,258,0,Clean
well,Rural,Hawassa,Rural,310,0,"Contaminated: Biological"
well,Rural,Sokoto,Rural,176,0,"Contaminated: Chemical"
river,Rural,Sokoto,Rural,414,10,NULL
tap_in_home,Rural,Hawassa,Rural,722,0,NULL
river,Serowe,Hawassa,Urban,610,15,NULL
well,Harare,Kilimani,Urban,216,0,"Contaminated: Chemical"
tap_in_home,Rural,Kilimani,Rural,348,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,892,0,NULL
shared_tap,Cheche,Sokoto,Urban,2048,25,NULL
tap_in_home,Rural,Akatsi,Rural,420,0,NULL
tap_in_home,Mrembo,Kilimani,Urban,922,0,NULL
well,Rural,Amanzi,Rural,226,0,"Contaminated: Chemical"
well,Rural,Amanzi,Rural,194,0,Clean
shared_tap,Rural,Hawassa,Rural,570,64,NULL
well,Djenne,Hawassa,Urban,338,0,"Contaminated: Chemical"
well,Bahari,Sokoto,Urban,280,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,900,0,NULL
tap_in_home,Asmara,Amanzi,Urban,302,0,NULL
river,Marang,Sokoto,Urban,506,8,NULL
shared_tap,Rural,Akatsi,Rural,3130,240,NULL
well,Rural,Kilimani,Rural,286,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Amanzi,Rural,796,0,NULL
well,Rural,Akatsi,Rural,362,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,240,0,"Contaminated: Chemical"
tap_in_home,Serowe,Hawassa,Urban,976,0,NULL
shared_tap,Rural,Kilimani,Rural,1842,156,NULL
river,Rural,Sokoto,Rural,526,22,NULL
river,Rural,Sokoto,Rural,660,18,NULL
well,Zanzibar,Hawassa,Urban,398,0,"Contaminated: Biological"
well,Marang,Sokoto,Urban,344,0,Clean
shared_tap,Rural,Sokoto,Rural,1536,134,NULL
shared_tap,Rural,Akatsi,Rural,1106,103,NULL
well,Rural,Kilimani,Rural,256,0,Clean
tap_in_home_broken,Rural,Hawassa,Rural,782,0,NULL
shared_tap,Rural,Akatsi,Rural,694,18,NULL
tap_in_home,Ilanga,Sokoto,Urban,770,0,NULL
river,Ilanga,Sokoto,Urban,922,14,NULL
well,Rural,Amanzi,Rural,258,0,Clean
well,Harare,Kilimani,Urban,382,0,Clean
well,Isiqalo,Kilimani,Urban,306,0,"Contaminated: Biological"
shared_tap,Rural,Sokoto,Rural,276,43,NULL
river,Rural,Sokoto,Rural,506,22,NULL
well,Rural,Amanzi,Rural,202,0,"Contaminated: Chemical"
tap_in_home,Amina,Hawassa,Urban,584,0,NULL
well,Deka,Hawassa,Urban,370,0,"Contaminated: Biological"
river,Djenne,Hawassa,Urban,830,18,NULL
well,Rural,Sokoto,Rural,188,0,"Contaminated: Chemical"
tap_in_home_broken,Harare,Akatsi,Urban,732,0,NULL
well,Rural,Akatsi,Rural,358,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,188,0,Clean
river,Zuri,Kilimani,Urban,956,26,NULL
tap_in_home_broken,Abidjan,Amanzi,Urban,922,0,NULL
well,Serowe,Hawassa,Urban,304,0,Clean
well,Isiqalo,Kilimani,Urban,204,0,Clean
tap_in_home_broken,Djenne,Hawassa,Urban,742,0,NULL
tap_in_home,Rural,Kilimani,Rural,342,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,728,0,NULL
river,Rural,Sokoto,Rural,762,11,NULL
well,Lusaka,Akatsi,Urban,272,0,Clean
tap_in_home_broken,Rural,Akatsi,Rural,352,0,NULL
shared_tap,Rural,Amanzi,Rural,1316,118,NULL
well,Rural,Sokoto,Rural,368,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,216,0,"Contaminated: Chemical"
well,Yaounde,Hawassa,Urban,172,0,"Contaminated: Chemical"
shared_tap,Pwani,Amanzi,Urban,780,79,NULL
tap_in_home,Rural,Amanzi,Rural,730,0,NULL
well,Rural,Akatsi,Rural,194,0,"Contaminated: Biological"
well,Rural,Sokoto,Rural,380,0,"Contaminated: Biological"
shared_tap,Rural,Kilimani,Rural,1538,134,NULL
shared_tap,Rural,Akatsi,Rural,1400,22,NULL
well,Rural,Akatsi,Rural,170,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,292,0,Clean
tap_in_home,Asmara,Amanzi,Urban,970,0,NULL
river,Rural,Sokoto,Rural,876,12,NULL
tap_in_home,Majengo,Sokoto,Urban,378,0,NULL
well,Harare,Akatsi,Urban,162,0,Clean
well,Kofi,Sokoto,Urban,360,0,"Contaminated: Chemical"
tap_in_home,Bello,Amanzi,Urban,788,0,NULL
tap_in_home,Rural,Amanzi,Rural,586,0,NULL
shared_tap,Rural,Akatsi,Rural,3248,240,NULL
well,Lusaka,Akatsi,Urban,368,0,"Contaminated: Biological"
shared_tap,Rural,Sokoto,Rural,3666,240,NULL
tap_in_home,Serowe,Hawassa,Urban,374,0,NULL
river,Rural,Kilimani,Rural,722,23,NULL
well,Harare,Kilimani,Urban,230,0,Clean
tap_in_home_broken,Rural,Hawassa,Rural,662,0,NULL
shared_tap,Marang,Sokoto,Urban,3094,240,NULL
tap_in_home,Pwani,Amanzi,Urban,618,0,NULL
well,Deka,Hawassa,Urban,388,0,"Contaminated: Biological"
tap_in_home,Dahabu,Amanzi,Urban,996,0,NULL
well,Amina,Hawassa,Urban,284,0,"Contaminated: Biological"
shared_tap,Rural,Hawassa,Rural,1032,97,NULL
well,Amara,Kilimani,Urban,164,0,"Contaminated: Biological"
tap_in_home_broken,Majengo,Sokoto,Urban,376,0,NULL
tap_in_home,Deka,Hawassa,Urban,426,0,NULL
well,Kintampo,Akatsi,Urban,320,0,Clean
well,Zanzibar,Hawassa,Urban,238,0,"Contaminated: Chemical"
well,Mrembo,Kilimani,Urban,346,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Kilimani,Rural,572,0,NULL
tap_in_home,Rural,Akatsi,Rural,968,0,NULL
well,Isiqalo,Kilimani,Urban,284,0,Clean
well,Rural,Hawassa,Rural,316,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,580,0,NULL
shared_tap,Rural,Akatsi,Rural,822,19,NULL
well,Isiqalo,Kilimani,Urban,340,0,"Contaminated: Biological"
tap_in_home_broken,Lusaka,Akatsi,Urban,610,0,NULL
well,Rural,Amanzi,Rural,322,0,"Contaminated: Chemical"
shared_tap,Zuri,Kilimani,Urban,3024,240,NULL
well,Harare,Kilimani,Urban,180,0,"Contaminated: Biological"
well,Zanzibar,Hawassa,Urban,342,0,Clean
well,Rural,Amanzi,Rural,378,0,Clean
well,Mrembo,Kilimani,Urban,340,0,"Contaminated: Chemical"
river,Rural,Sokoto,Rural,962,17,NULL
well,Rural,Akatsi,Rural,390,0,Clean
well,Rural,Kilimani,Rural,294,0,Clean
well,Rural,Kilimani,Rural,248,0,Clean
tap_in_home,Bello,Amanzi,Urban,980,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,740,0,NULL
shared_tap,Bello,Amanzi,Urban,2934,235,NULL
tap_in_home,Amara,Kilimani,Urban,550,0,NULL
well,Harare,Akatsi,Urban,272,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,730,0,NULL
well,Rural,Akatsi,Rural,298,0,"Contaminated: Chemical"
shared_tap,Rural,Sokoto,Rural,3448,240,NULL
well,Rural,Amanzi,Rural,356,0,Clean
well,Rural,Sokoto,Rural,238,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,2774,224,NULL
shared_tap,Amina,Amanzi,Urban,3642,240,NULL
well,Rural,Kilimani,Rural,360,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Amanzi,Rural,404,0,NULL
tap_in_home,Rural,Hawassa,Rural,530,0,NULL
tap_in_home,Rural,Sokoto,Rural,356,0,NULL
well,Rural,Amanzi,Rural,326,0,Clean
shared_tap,Amara,Kilimani,Urban,1532,22,NULL
tap_in_home,Mrembo,Kilimani,Urban,476,0,NULL
tap_in_home_broken,Harare,Akatsi,Urban,926,0,NULL
tap_in_home,Lusaka,Akatsi,Urban,378,0,NULL
well,Kofi,Sokoto,Urban,234,0,Clean
tap_in_home,Kofi,Sokoto,Urban,596,0,NULL
river,Rural,Sokoto,Rural,656,19,NULL
well,Rural,Kilimani,Rural,380,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,198,0,Clean
shared_tap,Rural,Akatsi,Rural,3152,240,NULL
well,Marang,Sokoto,Urban,220,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,326,0,Clean
well,Rural,Kilimani,Rural,340,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,932,19,NULL
shared_tap,Rural,Akatsi,Rural,3590,240,NULL
well,Rural,Kilimani,Rural,320,0,Clean
well,Rural,Kilimani,Rural,224,0,Clean
well,Rural,Amanzi,Rural,268,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,622,0,NULL
well,Rural,Sokoto,Rural,358,0,"Contaminated: Biological"
tap_in_home,Asmara,Amanzi,Urban,616,0,NULL
well,Rural,Amanzi,Rural,266,0,"Contaminated: Chemical"
well,Zuri,Kilimani,Urban,224,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,220,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,2362,27,NULL
shared_tap,Rural,Kilimani,Rural,682,18,NULL
well,Cheche,Sokoto,Urban,292,0,"Contaminated: Chemical"
well,Kofi,Sokoto,Urban,312,0,Clean
shared_tap,Rural,Akatsi,Rural,3164,240,NULL
well,Rural,Akatsi,Rural,162,0,Clean
well,Rural,Kilimani,Rural,382,0,"Contaminated: Biological"
tap_in_home_broken,Deka,Hawassa,Urban,498,0,NULL
well,Bahari,Sokoto,Urban,270,0,"Contaminated: Biological"
well,Yaounde,Hawassa,Urban,392,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,318,0,"Contaminated: Biological"
tap_in_home_broken,Asmara,Amanzi,Urban,708,0,NULL
well,Rural,Hawassa,Rural,240,0,"Contaminated: Biological"
well,Yaounde,Hawassa,Urban,180,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Kilimani,Rural,514,0,NULL
shared_tap,Rural,Sokoto,Rural,1870,158,NULL
well,Rural,Sokoto,Rural,196,0,Clean
river,Rural,Sokoto,Rural,878,12,NULL
well,Rural,Kilimani,Rural,258,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,218,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,630,0,NULL
shared_tap,Rural,Kilimani,Rural,1322,21,NULL
tap_in_home,Dahabu,Amanzi,Urban,432,0,NULL
well,Rural,Kilimani,Rural,318,0,"Contaminated: Biological"
shared_tap,Rural,Sokoto,Rural,3112,30,NULL
well,Rural,Hawassa,Rural,232,0,"Contaminated: Biological"
tap_in_home,Harare,Akatsi,Urban,842,0,NULL
river,Rural,Sokoto,Rural,882,18,NULL
tap_in_home,Rural,Akatsi,Rural,524,0,NULL
river,Rural,Amanzi,Rural,880,9,NULL
tap_in_home,Rural,Sokoto,Rural,558,0,NULL
well,Rural,Akatsi,Rural,268,0,Clean
well,Kofi,Sokoto,Urban,210,0,Clean
well,Isiqalo,Kilimani,Urban,336,0,"Contaminated: Chemical"
tap_in_home,Harare,Akatsi,Urban,622,0,NULL
tap_in_home,Harare,Kilimani,Urban,614,0,NULL
well,Rural,Kilimani,Rural,366,0,"Contaminated: Chemical"
tap_in_home,Rural,Sokoto,Rural,904,0,NULL
well,Rural,Hawassa,Rural,320,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,3688,240,NULL
tap_in_home_broken,Kofi,Sokoto,Urban,982,0,NULL
shared_tap,Rural,Sokoto,Rural,242,16,NULL
well,Amina,Amanzi,Urban,264,0,Clean
well,Rural,Kilimani,Rural,282,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,314,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Sokoto,Rural,460,0,NULL
well,Rural,Akatsi,Rural,238,0,"Contaminated: Biological"
tap_in_home,Dahabu,Amanzi,Urban,468,0,NULL
well,Rural,Sokoto,Rural,224,0,"Contaminated: Chemical"
well,Harare,Kilimani,Urban,240,0,Clean
well,Rural,Akatsi,Rural,300,0,Clean
tap_in_home,Kintampo,Akatsi,Urban,708,0,NULL
shared_tap,Rural,Sokoto,Rural,2098,175,NULL
well,Mrembo,Kilimani,Urban,184,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,902,0,NULL
well,Kintampo,Akatsi,Urban,234,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,306,0,"Contaminated: Biological"
tap_in_home,Harare,Kilimani,Urban,450,0,NULL
well,Kintampo,Akatsi,Urban,360,0,Clean
well,Harare,Kilimani,Urban,214,0,Clean
well,Mrembo,Kilimani,Urban,310,0,Clean
shared_tap,Zuri,Kilimani,Urban,2962,237,NULL
well,Kintampo,Akatsi,Urban,218,0,"Contaminated: Biological"
tap_in_home,Marang,Sokoto,Urban,658,0,NULL
well,Rural,Kilimani,Rural,380,0,"Contaminated: Biological"
shared_tap,Rural,Sokoto,Rural,200,16,NULL
tap_in_home,Kintampo,Akatsi,Urban,440,0,NULL
well,Kintampo,Akatsi,Urban,232,0,Clean
tap_in_home_broken,Harare,Kilimani,Urban,770,0,NULL
shared_tap,Dahabu,Amanzi,Urban,284,16,NULL
tap_in_home,Amara,Kilimani,Urban,522,0,NULL
well,Rural,Kilimani,Rural,358,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Amanzi,Rural,836,0,NULL
well,Rural,Sokoto,Rural,344,0,"Contaminated: Biological"
shared_tap,Rural,Hawassa,Rural,2762,223,NULL
tap_in_home,Bahari,Sokoto,Urban,648,0,NULL
tap_in_home,Rural,Kilimani,Rural,762,0,NULL
shared_tap,Zuri,Kilimani,Urban,1608,23,NULL
well,Rural,Sokoto,Rural,310,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,312,0,"Contaminated: Biological"
river,Mrembo,Kilimani,Urban,948,19,NULL
tap_in_home,Yaounde,Hawassa,Urban,668,0,NULL
river,Rural,Akatsi,Rural,484,17,NULL
well,Rural,Amanzi,Rural,320,0,Clean
tap_in_home,Serowe,Hawassa,Urban,612,0,NULL
shared_tap,Rural,Hawassa,Rural,1312,118,NULL
shared_tap,Rural,Hawassa,Rural,1750,149,NULL
well,Rural,Hawassa,Rural,332,0,"Contaminated: Chemical"
tap_in_home,Dahabu,Amanzi,Urban,448,0,NULL
tap_in_home,Rural,Amanzi,Rural,750,0,NULL
shared_tap,Rural,Amanzi,Rural,2290,26,NULL
tap_in_home,Harare,Kilimani,Urban,440,0,NULL
tap_in_home,Marang,Sokoto,Urban,624,0,NULL
well,Rural,Kilimani,Rural,388,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,616,0,NULL
tap_in_home,Rural,Akatsi,Rural,586,0,NULL
well,Rural,Akatsi,Rural,352,0,"Contaminated: Chemical"
well,Harare,Akatsi,Urban,318,0,Clean
well,Rural,Amanzi,Rural,376,0,"Contaminated: Chemical"
well,Serowe,Hawassa,Urban,208,0,Clean
well,Rural,Akatsi,Rural,306,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Kilimani,Rural,672,0,NULL
tap_in_home,Rural,Kilimani,Rural,966,0,NULL
well,Harare,Kilimani,Urban,162,0,Clean
shared_tap,Rural,Kilimani,Rural,264,16,NULL
tap_in_home,Serowe,Hawassa,Urban,426,0,NULL
tap_in_home,Mrembo,Kilimani,Urban,458,0,NULL
tap_in_home,Rural,Kilimani,Rural,868,0,NULL
well,Rural,Hawassa,Rural,224,0,"Contaminated: Biological"
river,Cheche,Sokoto,Urban,978,27,NULL
tap_in_home_broken,Lusaka,Akatsi,Urban,916,0,NULL
river,Rural,Kilimani,Rural,808,24,NULL
shared_tap,Zuri,Kilimani,Urban,1786,24,NULL
tap_in_home_broken,Abidjan,Amanzi,Urban,748,0,NULL
well,Rural,Akatsi,Rural,336,0,Clean
tap_in_home,Lusaka,Akatsi,Urban,716,0,NULL
shared_tap,Rural,Sokoto,Rural,584,18,NULL
tap_in_home_broken,Zuri,Kilimani,Urban,892,0,NULL
well,Ilanga,Sokoto,Urban,288,0,"Contaminated: Chemical"
shared_tap,Bello,Amanzi,Urban,2876,231,NULL
river,Rural,Sokoto,Rural,918,22,NULL
shared_tap,Bello,Amanzi,Urban,1808,154,NULL
well,Rural,Hawassa,Rural,374,0,"Contaminated: Chemical"
well,Serowe,Hawassa,Urban,182,0,Clean
well,Rural,Akatsi,Rural,210,0,Clean
well,Rural,Kilimani,Rural,208,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,344,0,Clean
shared_tap,Rural,Akatsi,Rural,3086,30,NULL
well,Bahari,Sokoto,Urban,324,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,242,0,"Contaminated: Chemical"
well,Amina,Amanzi,Urban,340,0,Clean
tap_in_home,Asmara,Amanzi,Urban,302,0,NULL
well,Zuri,Kilimani,Urban,168,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,174,0,Clean
well,Rural,Kilimani,Rural,272,0,"Contaminated: Biological"
well,Rural,Amanzi,Rural,334,0,Clean
well,Rural,Akatsi,Rural,184,0,"Contaminated: Chemical"
well,Mrembo,Kilimani,Urban,364,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,1832,24,NULL
river,Rural,Sokoto,Rural,886,20,NULL
river,Rural,Sokoto,Rural,964,7,NULL
well,Rural,Akatsi,Rural,312,0,"Contaminated: Chemical"
well,Isiqalo,Kilimani,Urban,342,0,"Contaminated: Chemical"
well,Amara,Kilimani,Urban,174,0,"Contaminated: Biological"
well,Rural,Amanzi,Rural,190,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,554,0,NULL
shared_tap,Rural,Sokoto,Rural,904,19,NULL
tap_in_home,Djenne,Hawassa,Urban,480,0,NULL
well,Rural,Akatsi,Rural,226,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,292,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,354,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,246,0,Clean
well,Rural,Akatsi,Rural,190,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,3518,240,NULL
well,Amara,Kilimani,Urban,210,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Amanzi,Rural,902,0,NULL
well,Harare,Kilimani,Urban,162,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,216,0,"Contaminated: Chemical"
well,Ilanga,Sokoto,Urban,228,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,332,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,378,0,Clean
shared_tap,Asmara,Amanzi,Urban,3118,30,NULL
tap_in_home_broken,Rural,Hawassa,Rural,606,0,NULL
tap_in_home,Kintampo,Akatsi,Urban,752,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,580,0,NULL
well,Rural,Akatsi,Rural,160,0,Clean
well,Rural,Akatsi,Rural,236,0,"Contaminated: Chemical"
tap_in_home,Bahari,Sokoto,Urban,514,0,NULL
tap_in_home,Kofi,Sokoto,Urban,738,0,NULL
well,Amara,Kilimani,Urban,372,0,"Contaminated: Biological"
shared_tap,Rural,Akatsi,Rural,2422,198,NULL
well,Rural,Sokoto,Rural,324,0,"Contaminated: Chemical"
tap_in_home_broken,Zuri,Kilimani,Urban,622,0,NULL
tap_in_home_broken,Asmara,Amanzi,Urban,626,0,NULL
well,Kintampo,Akatsi,Urban,284,0,Clean
tap_in_home,Rural,Hawassa,Rural,366,0,NULL
tap_in_home,Rural,Akatsi,Rural,894,0,NULL
well,Harare,Akatsi,Urban,252,0,Clean
shared_tap,Rural,Hawassa,Rural,3102,30,NULL
shared_tap,Rural,Hawassa,Rural,2262,187,NULL
well,Rural,Akatsi,Rural,300,0,Clean
well,Rural,Akatsi,Rural,246,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Amanzi,Rural,802,0,NULL
well,Harare,Kilimani,Urban,344,0,"Contaminated: Biological"
well,Deka,Hawassa,Urban,340,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Akatsi,Rural,836,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,984,0,NULL
well,Rural,Sokoto,Rural,268,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,338,0,"Contaminated: Biological"
well,Amina,Amanzi,Urban,322,0,"Contaminated: Biological"
tap_in_home_broken,Asmara,Amanzi,Urban,514,0,NULL
tap_in_home_broken,Marang,Sokoto,Urban,376,0,NULL
river,Rural,Sokoto,Rural,456,24,NULL
tap_in_home_broken,Rural,Amanzi,Rural,788,0,NULL
well,Lusaka,Akatsi,Urban,328,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,360,0,"Contaminated: Chemical"
well,Lusaka,Akatsi,Urban,374,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,834,0,NULL
well,Harare,Kilimani,Urban,170,0,Clean
shared_tap,Rural,Sokoto,Rural,344,16,NULL
shared_tap,Rural,Sokoto,Rural,1020,20,NULL
tap_in_home_broken,Majengo,Sokoto,Urban,678,0,NULL
tap_in_home_broken,Kofi,Sokoto,Urban,370,0,NULL
river,Rural,Sokoto,Rural,602,5,NULL
tap_in_home_broken,Amina,Amanzi,Urban,532,0,NULL
shared_tap,Rural,Sokoto,Rural,2182,26,NULL
tap_in_home_broken,Majengo,Sokoto,Urban,734,0,NULL
well,Rural,Kilimani,Rural,264,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,252,0,"Contaminated: Biological"
well,Yaounde,Hawassa,Urban,360,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,238,40,NULL
tap_in_home,Amara,Kilimani,Urban,308,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,658,0,NULL
shared_tap,Rural,Kilimani,Rural,878,19,NULL
tap_in_home,Rural,Amanzi,Rural,492,0,NULL
well,Isiqalo,Kilimani,Urban,332,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,216,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,316,0,"Contaminated: Biological"
river,Rural,Amanzi,Rural,720,25,NULL
tap_in_home,Dahabu,Amanzi,Urban,878,0,NULL
well,Rural,Sokoto,Rural,398,0,"Contaminated: Biological"
tap_in_home_broken,Abidjan,Amanzi,Urban,462,0,NULL
tap_in_home_broken,Lusaka,Akatsi,Urban,384,0,NULL
tap_in_home,Bello,Amanzi,Urban,840,0,NULL
well,Serowe,Hawassa,Urban,240,0,Clean
river,Ilanga,Sokoto,Urban,872,17,NULL
