address,town_name,province_name,source_id,type_of_water_source,results,Improvement
"121 Ziwa La Kioo Road",Rural,Kilimani,KiRu28862224,shared_tap,NULL,NULL
"134 Kuku Kenyatta Road",Rural,Sokoto,SoRu37799224,well,"Contaminated: Biological","Install UV and RO filter"
"126 Sahara Street",Rural,Kilimani,KiRu30540224,river,NULL,"Drill well"
"35 Miriam Makeba Drive",Zanzibar,Hawassa,HaZa21894224,tap_in_home_broken,NULL,NULL
"120 N'Djamena Road",Rural,Kilimani,KiRu26715224,well,"Contaminated: Biological","Install UV and RO filter"
"70 Sahara Street",Rural,Kilimani,KiRu30549224,shared_tap,NULL,NULL
"159 Mawimbi Maji Street",Rural,Amanzi,AmRu15184224,well,"Contaminated: Biological","Install UV and RO filter"
"198 Kano Street",Rural,Hawassa,HaRu18607224,tap_in_home_broken,NULL,NULL
"54 Mbube Avenue",Harare,Akatsi,AkHa00782224,shared_tap,NULL,NULL
"13 Constantine Road",Rural,Hawassa,HaRu17689224,well,"Contaminated: Biological","Install UV and RO filter"
"144 Kinshasa Road",Rural,Kilimani,KiRu30425224,tap_in_home_broken,NULL,NULL
"70 Nelson Mandela Street",Rural,Sokoto,SoRu37242224,river,NULL,"Drill well"
"39 Serpent Rise",Rural,Sokoto,SoRu34956224,well,"Contaminated: Chemical","Install RO filter"
"129 Hurghada Street",Rural,Amanzi,AmRu13236224,river,NULL,"Drill well"
"19 Panya Zinjathropus Avenue",Rural,Sokoto,SoRu37588224,well,"Contaminated: Biological","Install UV and RO filter"
"46 Youssou N'Dour Road",Rural,Sokoto,SoRu39121224,well,"Contaminated: Chemical","Install RO filter"
"30 Victoria Street",Rural,Akatsi,AkRu04160224,well,"Contaminated: Chemical","Install RO filter"
"81 Yaya Touré Lane",Majengo,Sokoto,SoMa34043224,tap_in_home_broken,NULL,NULL
"149 Tembo Road",Asmara,Amanzi,AmAs10049224,shared_tap,NULL,NULL
"42 Acacia Lane",Rural,Kilimani,KiRu25746224,tap_in_home_broken,NULL,NULL
"27 Fisi Nkrumah Street",Rural,Akatsi,AkRu06981224,shared_tap,NULL,NULL
"44 Kalahari Avenue",Rural,Kilimani,KiRu25906224,well,"Contaminated: Biological","Install UV and RO filter"
"131 Sahara Street",Rural,Kilimani,KiRu30584224,well,"Contaminated: Chemical","Install RO filter"
"11 Bahari Ya Uzuri Drive",Rural,Kilimani,KiRu29376224,well,"Contaminated: Biological","Install UV and RO filter"
"126 Sfax Street",Ilanga,Sokoto,SoIl32428224,well,"Contaminated: Chemical","Install RO filter"
"8 Lagos Street",Pwani,Amanzi,AmPw12669224,tap_in_home_broken,NULL,NULL
"14 Durban Road",Djenne,Hawassa,HaDj16740224,well,"Contaminated: Biological","Install UV and RO filter"
"182 Kumasi Street",Lusaka,Akatsi,AkLu02062224,well,"Contaminated: Chemical","Install RO filter"
"127 Mto Wa Uzima Street",Rural,Sokoto,SoRu38174224,well,"Contaminated: Biological","Install UV and RO filter"
"40 Senghor Way",Rural,Amanzi,AmRu14092224,shared_tap,NULL,NULL
"33 Conakry Street",Zuri,Kilimani,KiZu31172224,tap_in_home_broken,NULL,NULL
"131 Tuku Street",Rural,Hawassa,HaRu20828224,tap_in_home_broken,NULL,NULL
"43 Selassie Drive",Rural,Amanzi,AmRu14021224,well,"Contaminated: Chemical","Install RO filter"
"18 Nkrumah Road",Rural,Sokoto,SoRu36457224,river,NULL,"Drill well"
"13 Jomo Kenyatta Avenue",Zanzibar,Hawassa,HaZa21854224,well,"Contaminated: Chemical","Install RO filter"
"57 Abuja Avenue",Rural,Hawassa,HaRu18286224,well,"Contaminated: Chemical","Install RO filter"
"40 Nyuki Okonjo Drive",Rural,Kilimani,KiRu28143224,well,"Contaminated: Chemical","Install RO filter"
"62 Mnyama Dangote Road",Rural,Hawassa,HaRu19503224,well,"Contaminated: Chemical","Install RO filter"
"152 Maji Mema Street",Rural,Akatsi,AkRu07959224,well,"Contaminated: Chemical","Install RO filter"
"33 Algiers Road",Majengo,Sokoto,SoMa33735224,well,"Contaminated: Biological","Install UV and RO filter"
"62 Nyerere Road",Rural,Kilimani,KiRu26069224,well,"Contaminated: Biological","Install UV and RO filter"
"75 Youssou N'Dour Road",Rural,Sokoto,SoRu39056224,river,NULL,"Drill well"
"39 Okapi Road",Yaounde,Hawassa,HaYa21366224,well,"Contaminated: Chemical","Install RO filter"
"42 Lagos Street",Pwani,Amanzi,AmPw12623224,tap_in_home_broken,NULL,NULL
"33 Fela Kuti Boulevard",Djenne,Hawassa,HaDj16905224,well,"Contaminated: Biological","Install UV and RO filter"
"123 Kinshasa Road",Rural,Kilimani,KiRu30340224,shared_tap,NULL,NULL
"26 Eto'o Street",Asmara,Amanzi,AmAs10414224,shared_tap,NULL,NULL
"19 Wole Soyinka Street",Rural,Akatsi,AkRu05384224,shared_tap,NULL,NULL
"16 Praia Avenue",Rural,Kilimani,KiRu26563224,well,"Contaminated: Chemical","Install RO filter"
"33 Ziwa La Tumaini Drive",Mrembo,Kilimani,KiMr25038224,well,"Contaminated: Biological","Install UV and RO filter"
"79 Asimbonanga Road",Rural,Sokoto,SoRu38964224,tap_in_home_broken,NULL,NULL
"74 Tripoli Street",Harare,Kilimani,KiHa22801224,well,"Contaminated: Biological","Install UV and RO filter"
"113 Sungura Amanpour Road",Rural,Kilimani,KiRu28476224,well,"Contaminated: Chemical","Install RO filter"
"20 Mlima Tazama Avenue",Rural,Hawassa,HaRu19740224,tap_in_home_broken,NULL,NULL
"111 Nadi Kijani Lane",Asmara,Amanzi,AmAs10507224,shared_tap,NULL,NULL
"143 Angelique Street",Rural,Sokoto,SoRu39565224,river,NULL,"Drill well"
"15 Tembo Road",Asmara,Amanzi,AmAs10116224,tap_in_home_broken,NULL,NULL
"159 Kano Street",Rural,Hawassa,HaRu18452224,tap_in_home_broken,NULL,NULL
"65 Ziwa La Upendo Street",Rural,Kilimani,KiRu29645224,well,"Contaminated: Biological","Install UV and RO filter"
"39 Ngiri Achebe Drive",Rural,Amanzi,AmRu14895224,river,NULL,"Drill well"
"72 Timbuktu Road",Rural,Amanzi,AmRu13941224,tap_in_home_broken,NULL,NULL
"42 Cairo Road",Rural,Amanzi,AmRu13103224,tap_in_home_broken,NULL,NULL
"45 Djibouti Drive",Rural,Hawassa,HaRu18125224,tap_in_home_broken,NULL,NULL
"179 Bahari Nyeupe Street",Rural,Kilimani,KiRu29556224,well,"Contaminated: Chemical","Install RO filter"
"106 Kiboko Senghor Road",Isiqalo,Kilimani,KiIs24172224,well,"Contaminated: Chemical","Install RO filter"
"28 Freedom Road",Rural,Akatsi,AkRu08321224,river,NULL,"Drill well"
"69 Nyota Avenue",Rural,Akatsi,AkRu02679224,well,"Contaminated: Chemical","Install RO filter"
"17 Mombasa Road",Rural,Sokoto,SoRu35879224,shared_tap,NULL,NULL
"133 Kamuzu Banda Road",Rural,Sokoto,SoRu36828224,well,"Contaminated: Chemical","Install RO filter"
"169 Mlima Wa Matumaini Street",Mrembo,Kilimani,KiMr24969224,well,"Contaminated: Chemical","Install RO filter"
"46 Twiga Lumumba Boulevard",Rural,Hawassa,HaRu19397224,well,"Contaminated: Chemical","Install RO filter"
"86 Maseru Road",Rural,Kilimani,KiRu27159224,well,"Contaminated: Chemical","Install RO filter"
"70 Mto Wa Furaha Road",Rural,Akatsi,AkRu07629224,well,"Contaminated: Chemical","Install RO filter"
"155 Bahari Nyeupe Street",Rural,Kilimani,KiRu29430224,shared_tap,NULL,NULL
"174 Farasi Makeba Street",Isiqalo,Kilimani,KiIs23958224,shared_tap,NULL,NULL
"150 Ladysmith Black Street",Rural,Akatsi,AkRu08803224,well,"Contaminated: Chemical","Install RO filter"
"39 Afrobeats Street",Mrembo,Kilimani,KiMr25192224,well,"Contaminated: Biological","Install UV and RO filter"
"118 Asimbonanga Road",Rural,Sokoto,SoRu38996224,shared_tap,NULL,NULL
"130 Cissé Road",Majengo,Sokoto,SoMa33785224,well,"Contaminated: Biological","Install UV and RO filter"
"110 Pwani Mchangani Road",Ilanga,Sokoto,SoIl32579224,river,NULL,"Drill well"
"60 Luxor Avenue",Majengo,Sokoto,SoMa33615224,river,NULL,"Drill well"
"97 Sfax Street",Ilanga,Sokoto,SoIl32519224,well,"Contaminated: Chemical","Install RO filter"
"113 Bissau Street",Rural,Akatsi,AkRu05100224,well,"Contaminated: Chemical","Install RO filter"
"107 Popo Kamuzu Street",Rural,Akatsi,AkRu06554224,well,"Contaminated: Chemical","Install RO filter"
"46 Cape Town Avenue",Rural,Sokoto,SoRu38864224,well,"Contaminated: Chemical","Install RO filter"
"16 Casablanca Street",Rural,Amanzi,AmRu13596224,well,"Contaminated: Chemical","Install RO filter"
"137 Simba Tutu Street",Rural,Akatsi,AkRu07136224,tap_in_home_broken,NULL,NULL
"45 Nelson Mandela Street",Rural,Sokoto,SoRu37123224,tap_in_home_broken,NULL,NULL
"31 Garang Street",Amina,Hawassa,HaAm16065224,well,"Contaminated: Biological","Install UV and RO filter"
"32 Youssou N'Dour Road",Rural,Sokoto,SoRu39175224,well,"Contaminated: Chemical","Install RO filter"
"151 Kwame Nkrumah Street",Bahari,Sokoto,SoBa31655224,tap_in_home_broken,NULL,NULL
"5 Maputo Drive",Zuri,Kilimani,KiZu31120224,shared_tap,NULL,NULL
"69 Panya Zinjathropus Avenue",Rural,Sokoto,SoRu37629224,river,NULL,"Drill well"
"4 Yaounde Street",Zuri,Kilimani,KiZu30959224,river,NULL,"Drill well"
"184 Hurghada Street",Rural,Amanzi,AmRu13297224,well,"Contaminated: Chemical","Install RO filter"
"47 Tembo Road",Asmara,Amanzi,AmAs10131224,well,"Contaminated: Biological","Install UV and RO filter"
"189 Bahari Nzuri Street",Rural,Kilimani,KiRu28740224,well,"Contaminated: Chemical","Install RO filter"
"138 Wole Soyinka Street",Rural,Akatsi,AkRu05440224,well,"Contaminated: Biological","Install UV and RO filter"
"33 Fisi Nkrumah Street",Rural,Akatsi,AkRu06936224,well,"Contaminated: Chemical","Install RO filter"
"31 Ndovu Avenue",Rural,Sokoto,SoRu34861224,shared_tap,NULL,NULL
"23 Serpent Rise",Rural,Sokoto,SoRu34922224,tap_in_home_broken,NULL,NULL
"56 Kofi Annan Avenue",Rural,Sokoto,SoRu37260224,river,NULL,"Drill well"
"43 Tahrir Square",Rural,Hawassa,HaRu17359224,tap_in_home_broken,NULL,NULL
"118 Zanzibar Street",Rural,Kilimani,KiRu26901224,well,"Contaminated: Biological","Install UV and RO filter"
"19 Constantine Road",Rural,Hawassa,HaRu17568224,tap_in_home_broken,NULL,NULL
"67 Mnyama Dangote Road",Rural,Hawassa,HaRu19467224,well,"Contaminated: Biological","Install UV and RO filter"
"15 Sungura Amanpour Road",Rural,Kilimani,KiRu28551224,well,"Contaminated: Biological","Install UV and RO filter"
"38 Moroni Avenue",Rural,Sokoto,SoRu35723224,well,"Contaminated: Chemical","Install RO filter"
"71 Ndege Tambo Road",Deka,Hawassa,HaDe16382224,well,"Contaminated: Biological","Install UV and RO filter"
"45 Maji Matulivu Avenue",Lusaka,Akatsi,AkLu02398224,tap_in_home_broken,NULL,NULL
"32 Kalahari Avenue",Rural,Kilimani,KiRu25961224,well,"Contaminated: Chemical","Install RO filter"
"10 Ndege Khama Drive",Rural,Kilimani,KiRu28591224,river,NULL,"Drill well"
"13 Chakula Ramaphosa Drive",Rural,Akatsi,AkRu06791224,well,"Contaminated: Chemical","Install RO filter"
"37 Mto Msafi Road",Dahabu,Amanzi,AmDa12093224,shared_tap,NULL,NULL
"83 Simba Road",Rural,Akatsi,AkRu06060224,river,NULL,"Drill well"
"64 Garang Street",Amina,Hawassa,HaAm15969224,well,"Contaminated: Biological","Install UV and RO filter"
"133 Sahara Street",Rural,Kilimani,KiRu30508224,well,"Contaminated: Biological","Install UV and RO filter"
"11 Mandela Avenue",Amara,Kilimani,KiAm22200224,well,"Contaminated: Biological","Install UV and RO filter"
"147 Gbenga Adeyinka Street",Rural,Hawassa,HaRu20560224,well,"Contaminated: Biological","Install UV and RO filter"
"109 N'Djamena Road",Rural,Kilimani,KiRu26733224,tap_in_home_broken,NULL,NULL
"148 Punda Kagame Street",Rural,Akatsi,AkRu06398224,tap_in_home_broken,NULL,NULL
"54 Machel Lane",Rural,Sokoto,SoRu36536224,well,"Contaminated: Chemical","Install RO filter"
"33 Simba Tutu Street",Rural,Akatsi,AkRu07058224,river,NULL,"Drill well"
"9 Pwani Mchangani Road",Ilanga,Sokoto,SoIl32607224,river,NULL,"Drill well"
"47 Kiboko Nkrumah Lane",Rural,Hawassa,HaRu19312224,well,"Contaminated: Chemical","Install RO filter"
"38 Special Star Road",Rural,Kilimani,KiRu30003224,shared_tap,NULL,NULL
"150 Jerusalema Lane",Rural,Amanzi,AmRu15538224,well,"Contaminated: Biological","Install UV and RO filter"
"31 Nyota Avenue",Rural,Akatsi,AkRu02703224,well,"Contaminated: Chemical","Install RO filter"
"110 Garang Street",Amina,Hawassa,HaAm15917224,tap_in_home_broken,NULL,NULL
"6 Tembo Road",Asmara,Amanzi,AmAs10121224,shared_tap,NULL,NULL
"32 Desmond Tutu Street",Rural,Kilimani,KiRu27633224,well,"Contaminated: Chemical","Install RO filter"
"26 Durban Road",Djenne,Hawassa,HaDj16796224,well,"Contaminated: Biological","Install UV and RO filter"
"109 Bissau Street",Rural,Akatsi,AkRu04956224,well,"Contaminated: Chemical","Install RO filter"
"99 Nile Street",Rural,Sokoto,SoRu35231224,well,"Contaminated: Chemical","Install RO filter"
"26 Yaounde Street",Zuri,Kilimani,KiZu31032224,shared_tap,NULL,NULL
"166 Mbuzi Mbeki Street",Bello,Amanzi,AmBe11326224,tap_in_home_broken,NULL,NULL
"47 Dangote Drive",Deka,Hawassa,HaDe16344224,well,"Contaminated: Biological","Install UV and RO filter"
"117 Langata Road",Isiqalo,Kilimani,KiIs23581224,well,"Contaminated: Biological","Install UV and RO filter"
"94 Durban Road",Djenne,Hawassa,HaDj16733224,well,"Contaminated: Chemical","Install RO filter"
"120 Lome Street",Amara,Kilimani,KiAm22034224,tap_in_home_broken,NULL,NULL
"82 Kaduna Road",Rural,Kilimani,KiRu27415224,well,"Contaminated: Biological","Install UV and RO filter"
"11 Mto Wa Ukarimu Street",Rural,Sokoto,SoRu38773224,well,"Contaminated: Biological","Install UV and RO filter"
"9 Mlima Wa Uzuri Avenue",Rural,Sokoto,SoRu38376224,well,"Contaminated: Chemical","Install RO filter"
"8 Nguvu Tutu Street",Amara,Kilimani,KiAm22424224,well,"Contaminated: Biological","Install UV and RO filter"
"179 Seychelles Street",Rural,Sokoto,SoRu35925224,river,NULL,"Drill well"
"22 Conakry Street",Zuri,Kilimani,KiZu31278224,shared_tap,NULL,NULL
"51 Nyerere Road",Rural,Kilimani,KiRu26146224,well,"Contaminated: Biological","Install UV and RO filter"
"58 Praia Avenue",Rural,Kilimani,KiRu26531224,river,NULL,"Drill well"
"6 Nkrumah Road",Rural,Sokoto,SoRu36388224,river,NULL,"Drill well"
"189 Nguvu Tutu Street",Amara,Kilimani,KiAm22256224,well,"Contaminated: Biological","Install UV and RO filter"
"104 Nile Street",Rural,Sokoto,SoRu35366224,well,"Contaminated: Chemical","Install RO filter"
"117 Special Star Road",Rural,Kilimani,KiRu29970224,river,NULL,"Drill well"
"59 Lome Street",Amara,Kilimani,KiAm21986224,well,"Contaminated: Biological","Install UV and RO filter"
"104 Wole Soyinka Street",Rural,Akatsi,AkRu05474224,well,"Contaminated: Chemical","Install RO filter"
"6 Baobab Court",Rural,Akatsi,AkRu03479224,river,NULL,"Drill well"
"123 Amin Road",Rural,Hawassa,HaRu18699224,shared_tap,NULL,NULL
"191 Savanna Street",Rural,Akatsi,AkRu03264224,shared_tap,NULL,NULL
"8 Mto Maridadi Avenue",Rural,Amanzi,AmRu15083224,tap_in_home_broken,NULL,NULL
"177 Bahari Nyeupe Street",Rural,Kilimani,KiRu29489224,shared_tap,NULL,NULL
"44 Conakry Street",Zuri,Kilimani,KiZu31139224,shared_tap,NULL,NULL
"61 Kwame Nkrumah Street",Bahari,Sokoto,SoBa31678224,well,"Contaminated: Chemical","Install RO filter"
"82 Lumumba Lane",Amina,Amanzi,AmAm09519224,tap_in_home_broken,NULL,NULL
"33 Moroni Avenue",Rural,Sokoto,SoRu35728224,well,"Contaminated: Biological","Install UV and RO filter"
"24 Luxor Avenue",Majengo,Sokoto,SoMa33627224,river,NULL,"Drill well"
"40 Tausi Lumumba Avenue",Rural,Sokoto,SoRu37673224,shared_tap,NULL,NULL
"178 Desmond Tutu Street",Rural,Kilimani,KiRu27717224,shared_tap,NULL,NULL
"170 Wole Soyinka Street",Rural,Akatsi,AkRu05562224,well,"Contaminated: Chemical","Install RO filter"
"145 Tripoli Street",Harare,Kilimani,KiHa22800224,well,"Contaminated: Chemical","Install RO filter"
"144 Okocha Street",Mrembo,Kilimani,KiMr24546224,well,"Contaminated: Chemical","Install RO filter"
"170 Bujumbura Street",Harare,Kilimani,KiHa22965224,well,"Contaminated: Chemical","Install RO filter"
"61 Asmara Street",Rural,Akatsi,AkRu04407224,tap_in_home_broken,NULL,NULL
"175 Wole Soyinka Street",Rural,Akatsi,AkRu05504224,shared_tap,NULL,NULL
"17 Milima Nyeusi Drive",Rural,Akatsi,AkRu08067224,well,"Contaminated: Chemical","Install RO filter"
"15 Ukingo Wa Jua Street",Rural,Akatsi,AkRu07395224,well,"Contaminated: Chemical","Install RO filter"
"47 Nguvu Tutu Street",Amara,Kilimani,KiAm22376224,well,"Contaminated: Biological","Install UV and RO filter"
"20 Zambezi Way",Amina,Amanzi,AmAm09360224,tap_in_home_broken,NULL,NULL
"7 Njia Ya Maji Road",Rural,Kilimani,KiRu29090224,tap_in_home_broken,NULL,NULL
"137 N'Djamena Road",Rural,Kilimani,KiRu26769224,shared_tap,NULL,NULL
"18 Kampala Road",Zanzibar,Hawassa,HaZa21701224,tap_in_home_broken,NULL,NULL
"38 Seychelles Street",Rural,Sokoto,SoRu36022224,river,NULL,"Drill well"
"2 Jomo Kenyatta Avenue",Zanzibar,Hawassa,HaZa21811224,well,"Contaminated: Biological","Install UV and RO filter"
"46 Durban Road",Djenne,Hawassa,HaDj16672224,well,"Contaminated: Chemical","Install RO filter"
"24 Timbuktu Road",Rural,Amanzi,AmRu13852224,shared_tap,NULL,NULL
"35 Savannah Grove",Rural,Hawassa,HaRu17229224,well,"Contaminated: Biological","Install UV and RO filter"
"30 Khama Avenue",Rural,Hawassa,HaRu18811224,shared_tap,NULL,NULL
"26 Isicathamiya Avenue",Rural,Sokoto,SoRu39370224,well,"Contaminated: Chemical","Install RO filter"
"10 Duma Leakey Road",Rural,Kilimani,KiRu28003224,well,"Contaminated: Chemical","Install RO filter"
"104 Freetown Road",Marang,Sokoto,SoMa34275224,well,"Contaminated: Chemical","Install RO filter"
"43 Mandela Drive",Rural,Sokoto,SoRu35451224,river,NULL,"Drill well"
"148 Kob Maathai Road",Mrembo,Kilimani,KiMr24661224,well,"Contaminated: Biological","Install UV and RO filter"
"127 Paka Dangote Street",Rural,Sokoto,SoRu37868224,tap_in_home_broken,NULL,NULL
"97 African Queen Road",Rural,Amanzi,AmRu15781224,well,"Contaminated: Chemical","Install RO filter"
"18 Tausi Lumumba Avenue",Rural,Sokoto,SoRu37667224,tap_in_home_broken,NULL,NULL
"7 Tunis Road",Rural,Hawassa,HaRu17740224,shared_tap,NULL,NULL
"32 Pretoria Avenue",Mrembo,Kilimani,KiMr24369224,well,"Contaminated: Chemical","Install RO filter"
"69 Nadi Kijani Lane",Asmara,Amanzi,AmAs10642224,tap_in_home_broken,NULL,NULL
"63 Port Said Street",Harare,Kilimani,KiHa23187224,well,"Contaminated: Chemical","Install RO filter"
"106 Kenyatta Street",Rural,Akatsi,AkRu05275224,well,"Contaminated: Chemical","Install RO filter"
"131 Amin Road",Rural,Hawassa,HaRu18643224,shared_tap,NULL,NULL
"83 Zanzibar Street",Rural,Kilimani,KiRu27044224,well,"Contaminated: Biological","Install UV and RO filter"
"10 Moi Avenue",Rural,Akatsi,AkRu04017224,well,"Contaminated: Chemical","Install RO filter"
"123 Kenyatta Street",Rural,Akatsi,AkRu05185224,tap_in_home_broken,NULL,NULL
"38 Punda Kagame Street",Rural,Akatsi,AkRu06402224,river,NULL,"Drill well"
"2 Afro Jazz Street",Amina,Amanzi,AmAm09980224,tap_in_home_broken,NULL,NULL
"22 Twiga Lumumba Boulevard",Rural,Hawassa,HaRu19414224,tap_in_home_broken,NULL,NULL
"45 Gbenga Adeyinka Street",Rural,Hawassa,HaRu20482224,tap_in_home_broken,NULL,NULL
"136 Port Said Street",Harare,Kilimani,KiHa23258224,well,"Contaminated: Chemical","Install RO filter"
"114 Maji Mema Street",Rural,Akatsi,AkRu07950224,tap_in_home_broken,NULL,NULL
"33 Djembe Drive",Yaounde,Hawassa,HaYa21611224,well,"Contaminated: Chemical","Install RO filter"
"27 Kigali Place",Rural,Akatsi,AkRu03196224,well,"Contaminated: Chemical","Install RO filter"
"62 Mbuzi Mbeki Street",Bello,Amanzi,AmBe11266224,tap_in_home_broken,NULL,NULL
"132 Zanzibar Street",Rural,Kilimani,KiRu27007224,well,"Contaminated: Chemical","Install RO filter"
"151 Lagos Street",Pwani,Amanzi,AmPw12693224,shared_tap,NULL,NULL
"18 Bamenda Boulevard",Rural,Hawassa,HaRu18065224,well,"Contaminated: Biological","Install UV and RO filter"
"147 Ziwa La Upendo Street",Rural,Kilimani,KiRu29638224,shared_tap,NULL,NULL
"166 Machel Lane",Rural,Sokoto,SoRu36688224,tap_in_home_broken,NULL,NULL
"9 Akili Parkway",Kofi,Sokoto,SoKo33058224,well,"Contaminated: Biological","Install UV and RO filter"
"38 Lusaka Circle",Rural,Sokoto,SoRu35056224,river,NULL,"Drill well"
"17 Zamalek Parkway",Rural,Sokoto,SoRu35097224,well,"Contaminated: Chemical","Install RO filter"
"176 Lubumbashi Lane",Rural,Hawassa,HaRu17973224,well,"Contaminated: Chemical","Install RO filter"
"20 Jengo Khama Avenue",Isiqalo,Kilimani,KiIs24058224,tap_in_home_broken,NULL,NULL
"114 Special Star Road",Rural,Kilimani,KiRu29882224,well,"Contaminated: Chemical","Install RO filter"
"131 Chanzo Cha Furaha Road",Rural,Hawassa,HaRu19912224,well,"Contaminated: Biological","Install UV and RO filter"
"44 Milima Nyeusi Drive",Rural,Akatsi,AkRu08020224,well,"Contaminated: Chemical","Install RO filter"
"10 Twiga Kagame Avenue",Rural,Kilimani,KiRu28362224,river,NULL,"Drill well"
"109 Serengeti Road",Serowe,Hawassa,HaSe20986224,river,NULL,"Drill well"
"17 Djembe Drive",Yaounde,Hawassa,HaYa21577224,well,"Contaminated: Chemical","Install RO filter"
"29 Swahili Grove",Rural,Akatsi,AkRu03092224,well,"Contaminated: Chemical","Install RO filter"
"188 Mto Wa Uzima Street",Rural,Sokoto,SoRu38233224,river,NULL,"Drill well"
"58 Constantine Road",Rural,Hawassa,HaRu17606224,well,"Contaminated: Chemical","Install RO filter"
"145 Timbuktu Road",Rural,Amanzi,AmRu13915224,tap_in_home_broken,NULL,NULL
"67 Mbuzi Mbeki Street",Bello,Amanzi,AmBe11273224,shared_tap,NULL,NULL
"16 Miriam Makeba Drive",Rural,Hawassa,HaRu19166224,shared_tap,NULL,NULL
"46 Uhuru Square",Rural,Kilimani,KiRu25457224,well,"Contaminated: Biological","Install UV and RO filter"
"27 Ukingo Mkuu Drive",Harare,Akatsi,AkHa00525224,well,"Contaminated: Chemical","Install RO filter"
"73 Duma Leakey Road",Rural,Kilimani,KiRu28044224,shared_tap,NULL,NULL
"91 Okapi Road",Yaounde,Hawassa,HaYa21475224,well,"Contaminated: Chemical","Install RO filter"
"80 Port Said Street",Harare,Kilimani,KiHa23163224,tap_in_home_broken,NULL,NULL
"13 Antananarivo Road",Rural,Akatsi,AkRu04472224,river,NULL,"Drill well"
"161 Eto'o Street",Asmara,Amanzi,AmAs10275224,river,NULL,"Drill well"
"74 Milima Kali Street",Rural,Hawassa,HaRu20017224,well,"Contaminated: Chemical","Install RO filter"
"23 Freetown Road",Marang,Sokoto,SoMa34240224,well,"Contaminated: Chemical","Install RO filter"
"94 Bujumbura Street",Harare,Kilimani,KiHa23052224,well,"Contaminated: Biological","Install UV and RO filter"
"88 Banjul Street",Zuri,Kilimani,KiZu30798224,tap_in_home_broken,NULL,NULL
"147 Addis Ababa Road",Harare,Akatsi,AkHa00023224,tap_in_home_broken,NULL,NULL
"1 Johnny Street",Rural,Hawassa,HaRu20374224,tap_in_home_broken,NULL,NULL
"100 Freetown Road",Marang,Sokoto,SoMa34286224,well,"Contaminated: Chemical","Install RO filter"
"97 Popo Kamuzu Street",Rural,Akatsi,AkRu06513224,well,"Contaminated: Chemical","Install RO filter"
"135 Chanzo Cha Furaha Road",Rural,Hawassa,HaRu19898224,well,"Contaminated: Biological","Install UV and RO filter"
"194 Jerusalema Lane",Rural,Amanzi,AmRu15471224,tap_in_home_broken,NULL,NULL
"11 Tangier Terrace",Rural,Hawassa,HaRu17296224,well,"Contaminated: Chemical","Install RO filter"
"76 Afrobeats Street",Mrembo,Kilimani,KiMr25102224,well,"Contaminated: Chemical","Install RO filter"
"139 Tripoli Street",Harare,Kilimani,KiHa22823224,tap_in_home_broken,NULL,NULL
"150 Kinshasa Road",Abidjan,Amanzi,AmAb09110224,tap_in_home_broken,NULL,NULL
"11 Tripoli Terrace",Rural,Hawassa,HaRu18181224,tap_in_home_broken,NULL,NULL
"13 Yvonne Chaka Street",Harare,Akatsi,AkHa00643224,well,"Contaminated: Biological","Install UV and RO filter"
"87 Achebe Street",Bello,Amanzi,AmBe10943224,shared_tap,NULL,NULL
"105 Mombasa Road",Rural,Sokoto,SoRu35734224,well,"Contaminated: Chemical","Install RO filter"
"38 Ndovu Avenue",Rural,Sokoto,SoRu34860224,well,"Contaminated: Chemical","Install RO filter"
"116 Simba Tutu Street",Rural,Akatsi,AkRu07163224,well,"Contaminated: Chemical","Install RO filter"
"152 Monrovia Street",Rural,Sokoto,SoRu35549224,river,NULL,"Drill well"
"17 Sokoto Avenue",Mrembo,Kilimani,KiMr24311224,well,"Contaminated: Biological","Install UV and RO filter"
"188 Kumasi Street",Lusaka,Akatsi,AkLu02018224,well,"Contaminated: Chemical","Install RO filter"
"156 Yvonne Chaka Street",Harare,Akatsi,AkHa00728224,well,"Contaminated: Biological","Install UV and RO filter"
"172 Ellen Johnson Sirleaf Street",Rural,Sokoto,SoRu36864224,river,NULL,"Drill well"
"41 Kumasi Street",Lusaka,Akatsi,AkLu01945224,tap_in_home_broken,NULL,NULL
"57 Acacia Lane",Rural,Kilimani,KiRu25767224,well,"Contaminated: Chemical","Install RO filter"
"198 Nyama Choma Street",Rural,Amanzi,AmRu14753224,tap_in_home_broken,NULL,NULL
"111 Mogadishu Road",Lusaka,Akatsi,AkLu01672224,tap_in_home_broken,NULL,NULL
"54 Njia Ya Maji Road",Rural,Kilimani,KiRu29030224,well,"Contaminated: Chemical","Install RO filter"
"53 Marrakech Avenue",Rural,Akatsi,AkRu04630224,river,NULL,"Drill well"
"3 Mali Avenue",Cheche,Sokoto,SoCh32252224,well,"Contaminated: Biological","Install UV and RO filter"
"95 Ladysmith Black Street",Rural,Akatsi,AkRu08834224,shared_tap,NULL,NULL
"108 Twiga Lane",Rural,Hawassa,HaRu17029224,well,"Contaminated: Biological","Install UV and RO filter"
"169 Nia Lane",Rural,Akatsi,AkRu02826224,well,"Contaminated: Chemical","Install RO filter"
"155 Okocha Street",Mrembo,Kilimani,KiMr24555224,well,"Contaminated: Chemical","Install RO filter"
"75 Monrovia Street",Rural,Sokoto,SoRu35631224,well,"Contaminated: Chemical","Install RO filter"
